Feature ID	Taxon	Confidence
original72	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Acari; f__Acari; g__Naiacus; s__Naiacus_sp.	0.8805048536629395
original73	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Dictyochloropsis; s__Dictyochloropsis_splendida	0.777776306008934
original74	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Monilophyta; f__Monilophyta; g__Amauropelta; s__Amauropelta_navarrensis	0.829034228163243
original75	d__Eukaryota; p__Vertebrata; c__Mammalia; o__Mammalia; f__Mammalia	0.9999994466676507
original76	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Goffeauzyma; s__Goffeauzyma_gastrica	0.9000290000052452
original77	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Ascodesmidaceae	0.8899291793117371
original78	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Symbiochloris; s__Symbiochloris_symbiontica	0.9997460955255789
original79	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Symbiochloris	0.8884837806589079
original80	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Restionaceae; s__Restionaceae_environmental	0.9654750351901781
original81	d__Eukaryota; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Rhodotorula; s__Rhodotorula_mucilaginosa	0.7956107418164364
original82	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9549652823076867
original83	d__Eukaryota; p__Vertebrata; c__Mammalia; o__Mammalia; f__Mammalia	0.9999990108448614
original84	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Betula	0.7047253892850232
original85	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Tylenchida; f__Tylenchida	0.9999991184049161
original86	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida	0.9999999217319439
original87	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida	0.9999999965507766
original88	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Hexamastix; s__Hexamastix_mitis	0.9165929359376036
original89	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9972444282661179
original90	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9553288429973783
original91	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Gregarina; s__Gregarina_blattarum	0.7711057548770459
original92	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9999993172716927
original93	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999825369530687
original94	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae	0.999997566797696
original95	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999999760965564
original96	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Paraschneideria; s__Paraschneideria_metamorphosa	0.9997182876866275
original97	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999514713899647
original98	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9281444487543924
original99	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Paraschneideria	0.9999999547352666
original100	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Paraschneideria; s__uncultured_alveolate	0.9997016067758526
original101	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__Kodamaea-Candida_clade; s__[Candida]_suecica	0.7972114595376691
original102	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Paraschneideria	0.9999999897554493
original103	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae	0.9994683303298596
original104	d__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Thelebolaceae; g__Thelebolus; s__Thelebolus_stercoreus	0.9082755018581333
original105	d__Eukaryota	0.9999999745018285
original106	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9041392289664413
original107	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae	0.8535717160084507
original108	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus	0.99999899450004
original109	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Polytrichales; f__Polytrichales; g__Polytrichum; s__Polytrichum_formosum	0.9767675575434027
original110	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Tetratrichomonas	0.9995480370811837
original111	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9999950160634508
original112	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae	0.9996379383257809
original113	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Psychodiella	0.9998412930417964
original114	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae; s__uncultured_alga	0.725896513838833
original115	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Acari; f__Acari; g__Eupelops; s__Eupelops_plicatus	0.7209923136137807
original116	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Paraschneideria; s__uncultured_alveolate	0.9998348608671153
original117	d__Eukaryota; p__Tardigrada; c__Eutardigrada; o__Parachela; f__Parachela; g__Parachela; s__uncultured_eukaryote	0.9443341547318058
original118	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida	0.9999998815525655
original119	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Symbiochloris	0.9246839577525863
original120	d__Eukaryota; p__Cercozoa	0.8398685920114042
original121	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Elliptochloris; s__Elliptochloris_bilobata	0.8779937883248895
original122	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Cheilymenia; s__Cheilymenia_coprinaria	0.7471876468016321
original123	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Pinophyta; f__Pinophyta; g__Cedrus; s__Cedrus_libani	0.7913293664903727
original124	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta	0.7502864435722437
original125	d__Eukaryota; p__Cercozoa	0.826448827562693
original126	d__Eukaryota; p__Cryptomycota; c__LKM11; o__LKM11; f__LKM11; g__LKM11; s__uncultured_fungus	0.9965301622254058
original127	d__Eukaryota	0.9999999961261187
original128	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Symbiochloris; s__Symbiochloris_symbiontica	0.9999084115975998
original129	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae; s__uncultured_alga	0.7912622745578209
original130	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9998781969060746
original131	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Polypodiales; f__Polypodiales; g__Dryopteris; s__Dryopteris_filix-mas	0.9821944003814815
original132	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__uncultured_Apatococcus	0.9999991779691267
original133	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Psychodiella	0.8438042384524196
original134	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Chloroidium; s__Chloroidium_ellipsoideum	0.8926122764685507
original135	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Chloroidium; s__Chloroidium_ellipsoideum	0.946338981587433
original136	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Rhynchospora; s__Rhynchospora_nervosa	0.9542492629584692
original137	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9999971936749588
original138	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9989459909633727
original139	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta	0.9340049824892421
original140	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9999319587149605
original141	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Powellomycetaceae; g__Geranomyces; s__uncultured_Chytridiomycota	0.9585771129952438
original142	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_Sedis; g__Candida	0.99393083358659
original143	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chloromonas	0.8146728842983081
original144	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales	0.9998705689954193
original145	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae	0.9639034659895764
original146	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Apiotrichum	0.9736005482635623
original147	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999996183520721
original148	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Symbiochloris	0.9287393802412457
original149	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Kurtzmaniella-Candida_clade; s__[Candida]_santamariae	0.8036657524645182
original150	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9995612654763923
original151	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta	0.9356781481792416
original152	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Asterochloris; s__Asterochloris_erici	0.9999992129830246
original153	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Restionaceae; s__Restionaceae_environmental	0.8986293536984935
original154	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.7794681530219036
original155	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chloromonas	0.8943953954443238
original156	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Dictyochloropsis; s__Dictyochloropsis_splendida	0.8917543276439863
original157	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9972491864638491
original158	d__Eukaryota	0.9999999999999978
original159	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Stichococcus	0.7328374550509268
original160	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__uncultured_Apatococcus	0.9999400073138095
original161	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Linum; s__Linum_usitatissimum	0.9955377734245294
original162	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae; s__uncultured_Chloromonas	0.942849287299867
original163	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Symbiochloris; s__Symbiochloris_symbiontica	0.9957597284135448
original164	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae	0.934517430397442
original165	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae	0.9993634768242411
original166	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae	0.999974607551393
original167	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__uncultured_Trebouxia	0.9865142643494316
original168	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Triticum; s__Triticum_aestivum	0.848874943938753
original169	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Populus	0.9992826889225003
original170	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9970074790541475
original171	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9035026288193374
original172	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Asterochloris; s__Asterochloris_erici	0.9999998075300497
original173	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.998592904622158
original174	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999741678390215
original175	d__Eukaryota; p__Basidiomycota; c__Agaricostilbomycetes; o__Agaricostilbales; f__Chionosphaeraceae; g__Kurtzmanomyces; s__Kurtzmanomyces_insolitus	0.9229478524192268
original176	d__Eukaryota	0.9999998487531373
original177	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Wickerhamomyces-Candida_clade; s__Wickerhamomyces_anomalus	0.9891012572135154
original178	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae; s__uncultured_Chloromonas	0.8679427262486953
original179	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Cheilymenia; s__Cheilymenia_stercorea	0.9984342552349262
original180	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae	0.9999996568026874
